"price","resid_area","air_qual","room_num","age","teachers","poor_prop","airportYES","n_hos_beds","n_hot_rooms","waterbodyLake","waterbodyLake and River","waterbodyRiver","rainfall","parks","Sold","avg_dist"
17.5,38.14,0.538,5.99,81.7,19,14.67,0,5.45,11.14,1,0,0,56,0.05478547,1,4.26
20.2,38.14,0.538,5.456,36.6,19,11.69,1,8.504,12.1616,0,1,0,41,0.054250839,0,3.795
18.2,38.14,0.538,5.727,69.5,19,11.28,0,8.564,12.1456,0,1,0,27,0.057770199,1,3.8
13.6,38.14,0.538,5.57,98.1,19,21.02,1,8.272,15.1088,0,1,0,44,0.048317527,0,3.7975
19.6,38.14,0.538,5.965,89.2,19,13.83,1,9.192,14.1568,0,0,0,23,0.054040555,0,4.0125
15.2,38.14,0.538,6.142,91.7,19,18.72,1,5.804,14.1216,0,0,1,48,0.057413663,1,3.98
14.5,38.14,0.538,5.813,100,19,19.88,1,7.49,13.116,1,0,0,29,0.052609397,0,4.095
15.6,38.14,0.538,5.924,94.1,19,16.3,1,8.212,13.1248,1,0,0,27,0.050109252,1,4.4
13.9,38.14,0.538,5.599,85.7,19,16.51,1,9.378,13.1112,0,0,1,35,0.051585152,0,4.455
16.6,38.14,0.538,5.813,90.3,19,14.81,0,9.732,12.1328,1,0,0,59,0.04753336,1,4.6825
14.8,38.14,0.538,6.047,88.8,19,17.28,1,8.696,13.1184,1,0,0,20,0.048746294,1,4.4525
18.4,38.14,0.538,6.495,94.4,19,12.8,1,5.968,15.1472,0,0,1,35,0.054327375,1,4.455
21,38.14,0.538,6.674,87.3,19,11.98,0,9.02,12.168,0,0,1,50,0.048769785,0,4.24
12.7,38.14,0.538,5.713,94.1,19,22.6,0,9.854,12.1016,1,0,0,34,0.058542025,0,4.2325
14.5,38.14,0.538,6.072,100,19,13.04,1,9.29,12.116,0,0,0,23,0.052254284,1,4.175
13.2,38.14,0.538,5.95,82,19,27.71,0,8.764,14.1056,0,0,1,25,0.053285159,0,3.9925
13.1,38.14,0.538,5.701,95,19,18.35,1,8.362,15.1048,0,0,0,25,0.057017179,1,3.7875
13.5,38.14,0.538,6.096,96.9,19,20.34,1,9.67,11.108,0,0,0,40,0.049603305,0,3.76
18.9,35.96,0.499,5.933,68.2,20.8,9.68,1,9.478,11.1512,0,0,1,43,0.052911735,1,3.36
20,35.96,0.499,5.841,61.4,20.8,11.41,0,7.5,15.16,0,0,0,39,0.045356817,0,3.3775
21,35.96,0.499,5.85,41.5,20.8,8.77,1,8.12,10.168,0,0,1,21,0.050974724,0,3.935
24.2,35.96,0.499,5.966,30.2,20.8,10.13,1,8.184,10.1936,0,0,1,21,0.048389259,1,3.8475
30.8,32.95,0.428,6.595,21.8,21.7,4.32,1,6.916,12.2464,0,0,1,49,0.045051199,1,5.4
34.9,32.95,0.428,7.024,15.8,21.7,1.98,1,6.198,15.2792,0,0,1,20,0.042761796,1,5.4025
26.6,36.91,0.448,6.77,2.9,22.1,4.84,0,7.732,13.2128,0,1,0,30,0.04943941,1,5.7225
25.3,36.91,0.448,6.169,6.6,22.1,5.81,0,8.106,15.2024,0,0,1,52,0.041829995,1,5.7225
24.7,36.91,0.448,6.211,6.5,22.1,7.44,1,6.094,15.1976,0,0,1,56,0.044818593,1,5.72
21.2,36.91,0.448,6.069,40,22.1,9.55,0,9.024,12.1696,0,0,1,53,0.039936942,0,5.7225
19.3,36.91,0.448,5.682,33.8,22.1,10.21,0,8.086,11.1544,0,0,1,21,0.044495948,0,5.1025
20,36.91,0.448,5.786,33.3,22.1,14.15,1,9.3,12.16,1,0,0,39,0.045462478,0,5.1
16.6,36.91,0.448,6.03,85.5,22.1,18.8,1,5.332,12.1328,0,0,1,44,0.052566062,0,5.69
14.4,36.91,0.448,5.399,95.3,22.1,30.81,0,7.088,14.1152,0,0,0,34,0.042666167,0,5.87
19.4,36.91,0.448,5.602,62,22.1,16.2,0,5.988,13.1552,0,1,0,45,0.050609653,0,6.0875
19.7,35.64,0.439,5.963,45.7,23.2,13.45,1,7.89976706827309,11.1576,0,0,1,21,0.040388562,1,6.815
20.5,35.64,0.439,6.115,63,23.2,9.43,1,7.01,11.164,1,0,0,30,0.047270246,1,6.8175
25,35.64,0.439,6.511,21.1,23.2,5.28,0,9.9,14.2,0,0,1,56,0.046151955,1,6.8175
23.4,35.64,0.439,5.998,21.4,23.2,8.43,0,9.168,11.1872,0,0,1,41,0.041560598,1,6.815
18.9,34,0.41,5.888,47.6,18.9,14.8,1,8.678,15.1512,0,0,0,55,0.038684066,0,7.3175
35.4,31.22,0.403,7.249,21.9,22.1,4.81,1,7.508,13.2832,0,0,1,50,0.047984816,0,8.6975
24.7,30.74,0.41,6.383,35.7,22.7,5.77,1,5.794,15.1976,1,0,0,22,0.038214107,0,9.1875
31.6,31.32,0.411,6.816,40.5,24.9,3.95,1,7.432,15.2528,1,0,0,45,0.042595273,0,8.325
23.3,35.13,0.453,6.145,29.2,20.3,6.86,0,7.866,14.1864,0,0,0,22,0.04378357,0,7.815
19.6,35.13,0.453,5.927,47.2,20.3,9.22,1,6.192,14.1568,0,0,0,20,0.045900171,0,6.93
18.7,35.13,0.453,5.741,66.2,20.3,13.15,0,7.974,11.1496,0,0,1,30,0.043822595,0,7.225
16,35.13,0.453,5.966,93.4,20.3,14.44,0,6.22,15.128,0,0,1,48,0.038611012,1,6.82
22.2,35.13,0.453,6.456,67.8,20.3,6.73,1,5.844,10.1776,0,0,0,56,0.043331952,0,7.225
25,35.13,0.453,6.762,43.4,20.3,9.5,1,5.9,13.2,0,1,0,28,0.046951062,0,7.9825
33,31.38,0.4161,7.104,59.5,21.4,8.05,1,8.26,10.264,0,1,0,30,0.038988656,0,9.2225
23.5,33.37,0.398,6.29,17.8,23.9,4.67,0,9.47,12.188,0,0,1,20,0.037495888,1,6.6125
19.4,33.37,0.398,5.787,31.1,23.9,10.24,0,8.988,11.1552,0,1,0,44,0.047875577,0,6.61
22,36.07,0.409,5.878,21.4,21.1,8.1,1,7.14,13.176,0,0,1,29,0.040528069,0,6.4975
17.4,36.07,0.409,5.594,36.8,21.1,13.09,0,8.848,15.1392,0,0,1,40,0.048420864,1,6.4975
20.9,36.07,0.409,5.885,33,21.1,8.79,0,8.318,11.1672,1,0,0,56,0.038387608,0,6.5
24.2,40.81,0.413,6.417,6.6,20.8,6.72,1,9.784,14.1936,0,0,1,38,0.040917773,1,5.285
21.7,40.81,0.413,5.961,17.5,20.8,9.88,0,10.034,13.1736,0,1,0,46,0.039985354,0,5.2875
22.8,40.81,0.413,6.065,7.8,20.8,5.52,0,5.856,10.1824,0,0,1,20,0.036089025,0,5.2875
23.4,40.81,0.413,6.245,6.2,20.8,7.54,1,5.968,12.1872,1,0,0,45,0.043322646,0,5.2875
24.1,42.83,0.437,6.273,6,21.3,6.78,0,7.882,10.1928,0,0,1,40,0.038894328,0,4.2525
21.4,42.83,0.437,6.286,45,21.3,8.94,0,6.028,10.1712,0,0,0,28,0.038144597,1,4.505
20,42.83,0.437,6.279,74.5,21.3,11.97,0,7.3,12.16,0,0,0,22,0.045274535,0,4.0525
20.8,42.83,0.437,6.14,45.8,21.3,10.27,1,5.916,11.1664,0,0,1,57,0.041829283,0,4.09
21.2,42.83,0.437,6.232,53.7,21.3,12.34,1,8.824,15.1696,1,0,0,53,0.03764722,1,5.015
20.3,42.83,0.437,5.874,36.6,21.3,9.1,0,6.406,15.1624,0,1,0,37,0.047111045,1,4.5025
28,34.86,0.426,6.727,33.5,21,5.29,1,6.46,14.224,1,0,0,54,0.037354248,1,5.4
23.9,34.86,0.426,6.619,70.4,21,7.22,1,5.578,12.1912,1,0,0,49,0.050032616,0,5.4025
24.8,34.86,0.426,6.302,32.2,21,6.72,0,6.096,10.1984,0,0,1,20,0.04682196,0,5.4025
22.9,34.86,0.426,6.167,46.7,21,7.51,1,7.558,10.1832,1,0,0,34,0.040448628,1,5.4
23.9,34.49,0.449,6.389,48,21.5,9.62,0,6.678,14.1912,1,0,0,23,0.042125262,0,4.78
26.6,34.49,0.449,6.63,56.1,21.5,6.53,0,9.732,12.2128,0,0,1,56,0.052065566,1,4.44
22.5,34.49,0.449,6.015,45.1,21.5,12.86,1,5.95,11.18,0,0,1,50,0.047156577,1,4.4275
22.2,34.49,0.449,6.121,56.8,21.5,8.44,1,7.244,12.1776,0,0,0,43,0.050998564,0,3.7475
23.6,33.41,0.489,7.007,86.3,22.2,5.5,0,6.972,10.1888,0,0,1,28,0.04554757,1,3.42
28.7,33.41,0.489,7.079,63.1,22.2,5.7,1,7.574,15.2296,0,0,0,31,0.047722824,1,3.415
22.6,33.41,0.489,6.417,66.1,22.2,8.81,1,7.352,15.1808,1,0,0,58,0.042303076,0,3.0925
22,33.41,0.489,6.405,73.9,22.2,8.2,0,8.24,13.176,0,0,1,23,0.045096039,1,3.0925
22.9,45.04,0.464,6.442,53.6,21.8,8.16,0,9.158,14.1832,1,0,0,60,0.051749737,1,3.665
25,45.04,0.464,6.211,28.9,21.8,6.21,0,10.3,14.2,0,1,0,46,0.049108903,1,3.6675
20.6,45.04,0.464,6.249,77.3,21.8,10.59,0,5.712,13.1648,0,1,0,54,0.046459979,1,3.615
28.4,32.89,0.445,6.625,57.8,22,6.65,0,9.968,14.2272,0,0,1,46,0.046627461,1,3.495
21.4,32.89,0.445,6.163,69.6,22,11.34,0,10.228,12.1712,0,0,1,21,0.046213944,1,3.495
38.7,32.89,0.445,8.069,76,22,4.21,1,6.274,12.3096,0,0,1,53,0.041200534,1,3.495
43.8,32.89,0.445,7.82,36.9,22,3.57,1,10.876,10.3504,0,1,0,25,0.051129581,0,3.4975
33.2,32.89,0.445,7.416,62.5,22,6.19,0,6.564,13.2656,0,0,1,31,0.050933645,1,3.4975
27.5,38.56,0.52,6.727,79.9,19.1,9.42,1,9.65,15.22,1,0,0,24,0.046955478,0,2.7775
26.5,38.56,0.52,6.781,71.3,19.1,7.67,1,7.23,10.212,0,0,1,58,0.0444151,1,2.8575
18.6,38.56,0.52,6.405,85.4,19.1,10.63,0,6.772,13.1488,0,1,0,57,0.054341122,1,2.715
19.3,38.56,0.52,6.137,87.4,19.1,13.44,1,6.886,14.1544,0,0,0,36,0.05540686,1,2.7125
20.1,38.56,0.52,6.167,90,19.1,12.33,1,7.102,10.1608,0,0,0,20,0.045728768,1,2.4225
19.5,38.56,0.52,5.851,96.7,19.1,16.47,1,7.89,13.156,0,0,0,57,0.05142062,1,2.105
19.5,38.56,0.52,5.836,91.9,19.1,18.66,1,10.29,14.156,1,0,0,20,0.048169777,0,2.21
20.4,38.56,0.52,6.127,85.2,19.1,14.09,1,6.008,14.1632,0,1,0,57,0.05169746,0,2.1225
19.8,38.56,0.52,6.474,97.1,19.1,12.27,0,8.596,10.1584,0,1,0,48,0.050114607,0,2.435
19.4,38.56,0.52,6.229,91.2,19.1,15.55,1,9.788,14.1552,0,0,0,41,0.055473931,0,2.545
21.7,38.56,0.52,6.195,54.4,19.1,13,1,6.934,10.1736,0,0,0,37,0.045227306,0,2.7775
22.8,40.01,0.547,6.715,81.6,22.2,10.16,1,5.656,13.1824,0,0,1,34,0.05432915,1,2.675
18.8,40.01,0.547,5.913,92.9,22.2,16.21,1,7.89976706827309,15.1504,0,0,1,35,0.057643674,0,2.3525
18.7,40.01,0.547,6.092,95.4,22.2,17.09,1,10.074,10.1496,0,0,1,59,0.060331195,0,2.5475
18.5,40.01,0.547,6.254,84.2,22.2,10.45,0,6.67,12.148,0,1,0,39,0.056980267,1,2.255
18.3,40.01,0.547,5.928,88.2,22.2,15.76,0,7.566,11.1464,0,0,0,24,0.053824188,1,2.4625
21.2,40.01,0.547,6.176,72.5,22.2,12.04,0,6.524,13.1696,0,0,0,23,0.052774054,1,2.73
19.2,40.01,0.547,6.021,82.6,22.2,10.3,0,9.484,15.1536,0,1,0,28,0.060808694,1,2.7475
20.4,40.01,0.547,5.872,73.1,22.2,15.37,1,8.008,14.1632,0,0,1,40,0.056588861,0,2.4775
19.3,40.01,0.547,5.731,65.2,22.2,13.61,1,10.186,11.1544,0,0,1,20,0.052908001,1,2.7575
22,55.65,0.581,5.87,69.7,20.9,14.37,1,7.84,10.176,0,0,1,23,0.056973923,1,2.2575
20.3,55.65,0.581,6.004,84.1,20.9,14.27,1,9.706,10.1624,0,1,0,39,0.056765616,1,2.1975
20.5,55.65,0.581,5.961,92.9,20.9,17.93,1,8.91,10.164,0,0,0,51,0.060720897,1,2.09
17.3,55.65,0.581,5.856,97,20.9,25.41,1,9.146,10.1384,1,0,0,51,0.052355372,0,1.945
18.8,55.65,0.581,5.879,95.8,20.9,17.58,0,6.276,13.1504,0,0,1,56,0.062119064,0,2.0075
21.4,55.65,0.581,5.986,88.4,20.9,14.81,1,8.128,14.1712,1,0,0,22,0.060716839,0,1.99
15.7,55.65,0.581,5.613,95.6,20.9,27.26,0,7.714,10.1256,1,0,0,42,0.063462127,0,1.755
16.2,51.89,0.624,5.693,96,18.8,17.19,1,5.924,15.1296,0,0,0,31,0.056659877,0,1.7875
18,51.89,0.624,6.431,98.8,18.8,15.39,0,8.16,14.144,0,0,0,41,0.056365006,0,1.815
14.3,51.89,0.624,5.637,94.7,18.8,18.34,1,7.886,10.1144,1,0,0,30,0.058060503,0,1.9825
19.2,51.89,0.624,6.458,98.9,18.8,12.6,1,8.984,13.1536,0,0,0,25,0.066273177,0,2.1175
19.6,51.89,0.624,6.326,97.7,18.8,12.26,1,7.592,12.1568,0,0,0,29,0.055879606,0,2.27
23,51.89,0.624,6.372,97.9,18.8,11.12,1,8.96,12.184,0,1,0,57,0.05495705,1,2.3275
18.4,51.89,0.624,5.822,95.4,18.8,15.03,1,10.268,10.1472,0,1,0,58,0.061670168,1,2.4725
15.6,51.89,0.624,5.757,98.4,18.8,17.31,0,9.012,11.1248,0,1,0,32,0.064571272,1,2.3475
18.1,51.89,0.624,6.335,98.2,18.8,16.96,1,7.862,11.1448,0,0,1,37,0.066297131,1,2.11
17.4,51.89,0.624,5.942,93.5,18.8,16.9,0,10.148,10.1392,0,0,1,37,0.062157471,1,1.9675
17.1,51.89,0.624,6.454,98.4,18.8,14.59,1,6.942,11.1368,0,0,0,40,0.067321325,1,1.85
13.3,51.89,0.624,5.857,98.2,18.8,21.32,0,8.066,14.1064,0,0,1,39,0.059284665,1,1.6675
17.8,51.89,0.624,6.151,97.9,18.8,18.46,1,8.656,10.1424,1,0,0,29,0.059113982,0,1.6675
14,51.89,0.624,6.174,93.6,18.8,24.16,0,5.68,10.112,1,0,0,28,0.056976992,0,1.6125
14.4,51.89,0.624,5.019,100,18.8,34.41,1,9.988,12.1152,0,0,0,43,0.056051787,0,1.44
13.4,49.58,0.871,5.403,100,25.3,26.82,1,5.268,13.1072,0,0,1,42,0.080678048,0,1.3225
15.6,49.58,0.871,5.468,100,25.3,26.42,1,7.312,13.1248,0,0,0,25,0.07925606,0,1.4125
11.8,49.58,0.871,4.903,97.8,25.3,29.29,1,6.636,13.0944,0,0,1,52,0.079429069,0,1.345
13.8,49.58,0.871,6.13,100,25.3,27.8,1,7.776,10.1104,0,0,1,59,0.084516058,1,1.42
15.6,49.58,0.871,5.628,100,25.3,16.65,1,5.612,10.1248,0,0,1,32,0.075905363,1,1.515
14.6,49.58,0.871,4.926,95.7,25.3,29.53,0,6.892,11.1168,0,0,0,24,0.079946625,0,1.46
17.8,49.58,0.871,5.186,93.8,25.3,28.32,0,9.856,14.1424,1,0,0,43,0.08378952,0,1.5325
15.4,49.58,0.871,5.597,94.9,25.3,21.45,0,10.108,15.1232,0,0,0,48,0.075894744,1,1.5225
21.5,49.58,0.871,6.122,97.3,25.3,14.1,0,5.53,12.172,0,0,1,34,0.083032787,0,1.6175
19.6,49.58,0.871,5.404,100,25.3,13.28,0,6.492,11.1568,0,0,1,42,0.075318927,0,1.59
15.3,49.58,0.871,5.012,88,25.3,12.12,1,5.406,10.1224,0,0,0,46,0.085078322,0,1.61
19.4,49.58,0.871,5.709,98.5,25.3,15.79,0,6.088,12.1552,0,0,0,58,0.083903874,1,1.6225
17,49.58,0.871,6.129,96,25.3,15.12,0,7.44,15.136,0,1,0,48,0.080515947,1,1.7475
15.6,49.58,0.871,6.152,82.6,25.3,15.02,0,9.912,11.1248,0,0,1,37,0.086711473,1,1.7475
13.1,49.58,0.871,5.272,94,25.3,16.14,0,6.362,10.1048,0,0,1,60,0.074884947,0,1.735
41.3,49.58,0.605,6.943,97.4,25.3,4.59,1,8.226,13.3304,0,0,0,57,0.05481416,0,1.8775
24.3,49.58,0.605,6.066,100,25.3,6.43,0,8.886,13.1944,0,0,1,46,0.055598528,1,1.7575
23.3,49.58,0.871,6.51,100,25.3,7.39,1,7.166,12.1864,1,0,0,36,0.076488584,1,1.7675
27,49.58,0.605,6.25,92.6,25.3,5.5,1,8.44,12.216,1,0,0,23,0.051890692,0,1.8
50,49.58,0.605,7.489,90.8,25.3,1.73,1,10.5,11.4,0,0,0,35,0.053896795,0,1.97
50,49.58,0.605,7.802,98.2,25.3,1.92,1,8.4,12.4,1,0,0,22,0.055681854,0,2.0425
50,49.58,0.605,8.375,93.9,25.3,3.32,1,8,12.4,0,0,1,57,0.060273298,0,2.1625
22.7,49.58,0.605,5.854,91.8,25.3,11.64,1,8.354,15.1816,1,0,0,56,0.065833104,1,2.4225
25,49.58,0.605,6.101,93,25.3,9.81,1,10,12.2,0,0,1,22,0.053283066,1,2.2825
50,49.58,0.605,7.929,96.2,25.3,3.7,1,8.3,15.4,0,0,1,37,0.052105035,0,2.0475
23.8,49.58,0.605,5.877,79.2,25.3,12.14,1,10.076,10.1904,1,0,0,22,0.054831218,1,2.425
23.8,49.58,0.605,6.319,96.1,25.3,11.1,0,6.676,11.1904,0,0,0,23,0.066262309,1,2.1
22.3,49.58,0.605,6.402,95.2,25.3,11.32,0,5.546,15.1784,0,1,0,22,0.053555634,1,2.2625
17.4,49.58,0.605,5.875,94.6,25.3,14.43,0,7.948,11.1392,1,0,0,28,0.060587462,1,2.425
19.1,49.58,0.605,5.88,97.3,25.3,12.03,0,9.782,12.1528,0,0,1,54,0.057446331,1,2.39
23.1,34.05,0.51,5.572,88.5,23.4,14.69,0,9.362,12.1848,0,0,1,38,0.052949504,1,2.5975
23.6,34.05,0.51,6.416,84.1,23.4,9.04,1,9.872,10.1888,0,0,0,59,0.053992976,1,2.6475
22.6,34.05,0.51,5.859,68.7,23.4,9.64,1,9.752,15.1808,0,0,1,35,0.052971979,1,2.7025
29.4,34.05,0.51,6.546,33.1,23.4,5.33,1,6.188,12.2352,0,0,0,48,0.050839826,0,3.13
23.2,34.05,0.51,6.02,47.2,23.4,10.11,1,8.564,15.1856,1,0,0,49,0.05195249,1,3.555
24.6,34.05,0.51,6.315,73.4,23.4,6.29,1,7.092,14.1968,1,0,0,31,0.047376831,1,3.32
29.9,34.05,0.51,6.86,74.4,23.4,6.92,0,5.898,11.2392,0,0,0,28,0.054717152,0,2.9125
37.2,32.46,0.488,6.98,58.4,22.2,5.04,0,9.744,11.2976,1,0,0,50,0.045500586,0,2.83
39.8,32.46,0.488,7.765,83.3,22.2,7.56,1,8.496,14.3184,0,1,0,60,0.046516009,0,2.74
36.2,32.46,0.488,6.144,62.2,22.2,9.45,1,6.624,15.2896,0,0,1,59,0.056018002,0,2.5975
37.9,32.46,0.488,7.155,92.2,22.2,4.82,1,9.258,15.3032,0,0,1,56,0.042959915,0,2.6975
32.5,32.46,0.488,6.563,95.6,22.2,5.68,1,7.35,14.26,1,0,0,60,0.045047217,0,2.845
26.4,32.46,0.488,5.604,89.8,22.2,13.98,1,9.928,10.2112,1,0,0,27,0.046676165,1,2.99
29.6,32.46,0.488,6.153,68.8,22.2,13.15,1,8.192,11.2368,1,0,0,45,0.046596095,1,3.28
50,32.46,0.488,7.831,53.6,22.2,4.45,1,6,13.4,1,0,0,35,0.045703391,0,3.2
32,33.44,0.437,6.782,41.1,24.8,6.68,1,7.84,13.256,0,0,1,23,0.042225334,0,3.7875
29.8,33.44,0.437,6.556,29.1,24.8,4.56,1,7.596,10.2384,0,0,1,40,0.045949197,1,4.5675
34.9,33.44,0.437,7.185,38.9,24.8,5.39,0,9.298,14.2792,0,0,1,20,0.04637912,0,4.5675
33,33.44,0.437,6.951,21.5,24.8,5.1,0,6.16,11.264,0,0,0,55,0.050923075,0,6.48
30.5,33.44,0.437,6.739,30.8,24.8,4.69,0,8.81,11.244,0,0,0,40,0.038316195,1,6.48
36.4,33.44,0.437,7.178,26.3,24.8,2.87,1,10.528,11.2912,1,0,0,40,0.044716451,1,6.4775
31.1,32.93,0.401,6.8,9.9,24.4,5.03,0,6.822,13.2488,0,0,1,24,0.041103452,1,6.22
29.1,32.93,0.401,6.604,18.8,24.4,4.38,0,9.282,14.2328,0,0,1,59,0.04883319,1,6.22
50,30.46,0.422,7.875,32,25.6,2.97,1,8.2,14.4,0,0,1,26,0.042971351,0,5.65
33.3,31.52,0.404,7.287,34.1,27.4,4.08,1,7.266,15.2664,0,1,0,20,0.036635762,1,7.31
30.3,31.52,0.404,7.107,36.6,27.4,8.61,1,6.906,14.2424,0,1,0,24,0.040063074,1,7.31
34.6,31.52,0.404,7.274,38.3,27.4,6.62,0,10.192,14.2768,1,0,0,43,0.041173937,1,7.31
34.9,31.47,0.403,6.975,15.3,23,4.56,1,7.998,13.2792,0,0,0,24,0.041283982,1,7.6525
32.9,31.47,0.403,7.135,13.9,23,4.45,0,5.958,10.2632,1,0,0,22,0.046477735,0,7.6525
24.1,32.03,0.415,6.162,38.4,25.3,7.43,1,7.782,12.1928,0,0,1,32,0.041438068,0,6.2725
42.3,32.03,0.415,7.61,15.7,25.3,3.11,0,10.546,14.3384,0,1,0,30,0.045898658,0,6.2675
48.5,32.68,0.4161,7.853,33.2,25.3,3.81,0,8.77,11.388,0,0,0,22,0.040932911,0,5.1175
50,32.68,0.4161,8.034,31.9,25.3,2.88,1,8.9,15.4,0,0,1,51,0.044178168,0,5.12
22.6,40.59,0.489,5.891,22.3,21.4,10.87,1,7.952,15.1808,0,0,1,26,0.056222,0,3.9475
24.4,40.59,0.489,6.326,52.5,21.4,10.97,1,6.688,11.1952,0,0,1,52,0.051027894,1,4.3575
22.5,40.59,0.489,5.783,72.7,21.4,18.06,1,7.95,10.18,0,0,0,38,0.05189131,0,4.3525
24.4,40.59,0.489,6.064,59.1,21.4,14.66,1,6.888,14.1952,0,0,0,31,0.044689385,0,4.24
20,40.59,0.489,5.344,100,21.4,23.09,0,7.9,13.16,0,0,0,60,0.056197535,0,3.875
21.7,40.59,0.489,5.96,92.1,21.4,17.27,1,8.034,12.1736,0,0,0,36,0.044598056,0,3.875
19.3,40.59,0.489,5.404,88.6,21.4,23.98,0,5.986,14.1544,0,0,1,39,0.048873203,0,3.665
22.4,40.59,0.489,5.807,53.8,21.4,16.03,1,6.848,13.1792,0,0,1,20,0.052656085,0,3.6525
28.1,40.59,0.489,6.375,32.3,21.4,9.38,1,7.562,10.2248,0,0,0,6.6,0.044019172,1,3.945
23.7,40.59,0.489,5.412,9.8,21.4,29.55,1,5.674,11.1896,0,0,0,21,0.056117611,0,3.59
25,40.59,0.489,6.182,42.4,21.4,9.47,1,7.89976706827309,12.2,1,0,0,30,0.04792534,0,3.9475
23.3,43.89,0.55,5.888,56,23.6,13.51,1,5.466,12.1864,0,1,0,22,0.061620518,1,3.1125
28.7,43.89,0.55,6.642,85.1,23.6,9.69,0,9.274,14.2296,0,0,0,23,0.048611305,1,3.42
21.5,43.89,0.55,5.951,93.8,23.6,17.92,1,8.73,14.172,0,0,0,49,0.048031734,0,2.89
23,43.89,0.55,6.373,92.4,23.6,10.5,1,6.16,13.184,0,0,0,21,0.056016354,1,3.365
26.7,36.2,0.507,6.951,88.5,22.6,9.71,0,8.734,11.2136,0,0,1,23,0.053540387,0,2.86
21.7,36.2,0.507,6.164,91.3,22.6,21.46,1,5.734,14.1736,0,0,0,37,0.057325565,0,3.0475
27.5,36.2,0.507,6.879,77.7,22.6,9.93,1,9.45,12.22,0,1,0,50,0.046840009,0,3.2725
30.1,36.2,0.507,6.618,80.8,22.6,7.6,1,9.702,12.2408,0,0,1,39,0.0490122,0,3.27
44.8,36.2,0.504,8.266,78.3,22.6,4.14,1,6.796,12.3584,1,0,0,47,0.056999654,0,2.895
50,36.2,0.504,8.725,83,22.6,4.63,1,7.5,13.4,0,0,1,20,0.056994369,0,2.8925
37.6,36.2,0.504,8.04,86.5,22.6,3.13,1,5.952,10.3008,0,1,0,54,0.053115719,1,3.215
31.6,36.2,0.504,7.163,79.9,22.6,6.36,0,6.332,10.2528,0,0,1,34,0.054049996,0,3.2175
46.7,36.2,0.504,7.686,17,22.6,3.92,1,10.134,14.3736,1,0,0,43,0.054927989,0,3.3775
31.5,36.2,0.504,6.552,21.4,22.6,3.76,1,7.33,15.252,0,0,0,47,0.044352419,0,3.3725
24.3,36.2,0.504,5.981,68.1,22.6,11.65,0,8.286,10.1944,0,0,0,59,0.046602048,1,3.675
31.7,36.2,0.504,7.412,76.9,22.6,5.25,1,6.734,10.2536,0,0,0,26,0.05392758,0,3.6725
41.7,36.2,0.507,8.337,73.3,22.6,2.47,1,6.634,11.3336,0,0,1,28,0.057302659,1,3.84
48.3,36.2,0.507,8.247,70.4,22.6,3.95,1,9.066,11.3864,0,0,0,23,0.050358562,0,3.65
29,36.2,0.507,6.726,66.5,22.6,8.05,1,9.88,13.232,0,0,1,32,0.044080596,1,3.6525
24,36.2,0.507,6.086,61.5,22.6,10.88,1,9.18,14.192,0,0,0,57,0.052493323,0,3.65
